config,NX,NY,N,Maxiter,threads,time_s
a,250,100,900000,10,1,0.035163
a,250,100,900000,10,2,0.022841
a,250,100,900000,10,4,0.013970
a,250,100,900000,10,8,0.014746
a,250,100,900000,10,16,0.021781
b,250,100,5000000,10,1,0.195236
b,250,100,5000000,10,2,0.102206
b,250,100,5000000,10,4,0.058255
b,250,100,5000000,10,8,0.053979
b,250,100,5000000,10,16,0.061777
c,500,200,3600000,10,1,0.150989
c,500,200,3600000,10,2,0.085583
c,500,200,3600000,10,4,0.053627
c,500,200,3600000,10,8,0.057080
c,500,200,3600000,10,16,0.074766
d,500,200,20000000,10,1,0.834412
d,500,200,20000000,10,2,0.429434
d,500,200,20000000,10,4,0.236851
d,500,200,20000000,10,8,0.231998
d,500,200,20000000,10,16,0.220249
e,1000,400,14000000,10,1,1.010875
e,1000,400,14000000,10,2,0.545756
e,1000,400,14000000,10,4,0.330044
e,1000,400,14000000,10,8,0.626391
e,1000,400,14000000,10,16,1.539923
